TyreId,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
2017177355.00,340.00,20101124.00,1011170809.00,0.00,1.00,1.00,0.00,0.00,122.00,99.00,24.00,-50.00,58.00,101.00,-1.00
2016858836.00,340.00,20101124.00,1010250806.00,0.00,1.00,1.00,0.00,0.00,114.00,79.00,53.00,-137.00,20.00,31.00,-1.00
2016858836.00,340.00,20101124.00,1010250806.00,9.00,1.00,1.00,1.00,1.00,112.00,74.00,62.00,-30.00,51.00,51.00,265.00
2017177355.00,340.00,20101124.00,1011170809.00,0.00,1.00,1.00,1.00,0.00,107.00,65.00,84.00,-26.00,50.00,37.00,551.00
2017177355.00,340.00,20101124.00,1011170809.00,9.00,1.00,1.00,1.00,1.00,117.00,75.00,76.00,-26.00,49.00,51.00,559.00
2016859722.00,340.00,20101125.00,1011251879.00,9.00,1.00,1.00,1.00,1.00,55.00,21.00,49.00,-6.00,38.00,34.00,158.00
2017277249.00,340.00,20101125.00,1011251880.00,0.00,1.00,1.00,0.00,0.00,137.00,114.00,25.00,-10.00,39.00,54.00,-1.00
2017277281.00,340.00,20101125.00,1011251881.00,9.00,1.00,1.00,1.00,1.00,114.00,74.00,48.00,-2.00,28.00,53.00,515.00
2016835179.00,340.00,20101125.00,1011251882.00,9.00,1.00,1.00,1.00,1.00,100.00,66.00,41.00,-7.00,29.00,47.00,532.00
2017277233.00,340.00,20101125.00,1011251883.00,9.00,1.00,1.00,1.00,1.00,47.00,8.00,41.00,13.00,62.00,60.00,763.00
2016859272.00,340.00,20101125.00,1011251884.00,9.00,1.00,1.00,1.00,1.00,93.00,58.00,33.00,-9.00,55.00,54.00,468.00
2016835216.00,353.00,20101124.00,1011231696.00,0.00,1.00,1.00,0.00,0.00,132.00,91.00,36.00,-28.00,55.00,31.00,-1.00
2016838377.00,353.00,20101124.00,1011231699.00,9.00,1.00,1.00,1.00,1.00,78.00,42.00,38.00,-6.00,45.00,39.00,256.00
2016838377.00,353.00,20101124.00,1011231699.00,9.00,1.00,1.00,1.00,1.00,78.00,42.00,38.00,-6.00,45.00,39.00,256.00
2016837859.00,353.00,20101124.00,1011231700.00,9.00,1.00,1.00,1.00,1.00,95.00,73.00,43.00,-15.00,55.00,63.00,248.00
2016837870.00,353.00,20101124.00,1011231695.00,9.00,1.00,1.00,1.00,1.00,88.00,83.00,23.00,-51.00,43.00,32.00,571.00
2017274214.00,353.00,20101124.00,1011231693.00,9.00,1.00,1.00,1.00,1.00,91.00,51.00,29.00,-19.00,37.00,42.00,278.00
2016837042.00,353.00,20101124.00,1011231694.00,9.00,1.00,1.00,1.00,1.00,109.00,60.00,51.00,-21.00,34.00,31.00,403.00
2016835212.00,353.00,20101124.00,1011231703.00,0.00,1.00,1.00,0.00,0.00,127.00,91.00,56.00,-16.00,43.00,29.00,-1.00
2017274186.00,353.00,20101124.00,1011231686.00,9.00,1.00,1.00,1.00,1.00,92.00,74.00,70.00,-25.00,73.00,29.00,507.00
2016837854.00,353.00,20101124.00,1011231701.00,9.00,1.00,1.00,1.00,1.00,109.00,51.00,46.00,-12.00,51.00,43.00,698.00
2016837849.00,353.00,20101124.00,1011231702.00,9.00,1.00,1.00,1.00,1.00,129.00,80.00,69.00,-38.00,45.00,87.00,232.00
2017274191.00,353.00,20101124.00,1011231691.00,9.00,1.00,1.00,1.00,1.00,97.00,48.00,36.00,-20.00,51.00,46.00,280.00
2017274212.00,353.00,20101123.00,1011231685.00,9.00,1.00,1.00,1.00,1.00,101.00,80.00,45.00,-6.00,72.00,80.00,520.00
2017274186.00,353.00,20101123.00,1011231686.00,0.00,1.00,1.00,0.00,0.00,111.00,92.00,59.00,-8.00,58.00,68.00,-1.00
2017274176.00,353.00,20101123.00,1011231689.00,9.00,1.00,1.00,1.00,1.00,110.00,82.00,47.00,-7.00,41.00,48.00,44.00
2017274257.00,353.00,20101123.00,1011231690.00,9.00,1.00,1.00,1.00,1.00,124.00,71.00,66.00,-13.00,68.00,39.00,326.00
2017274191.00,353.00,20101123.00,1011231691.00,0.00,1.00,1.00,0.00,0.00,114.00,89.00,29.00,-10.00,65.00,76.00,-1.00
2017274124.00,353.00,20101123.00,1011231692.00,9.00,1.00,1.00,1.00,1.00,72.00,24.00,37.00,-6.00,69.00,48.00,526.00
2017274214.00,353.00,20101123.00,1011231693.00,0.00,1.00,1.00,0.00,0.00,155.00,112.00,49.00,-5.00,43.00,43.00,-1.00
2016837042.00,353.00,20101123.00,1011231694.00,0.00,1.00,1.00,0.00,0.00,130.00,87.00,35.00,-10.00,38.00,66.00,-1.00
2016837870.00,353.00,20101123.00,1011231695.00,0.00,1.00,1.00,0.00,0.00,128.00,105.00,37.00,-6.00,37.00,73.00,-1.00
2016835216.00,353.00,20101123.00,1011231696.00,0.00,1.00,1.00,0.00,0.00,162.00,121.00,37.00,-17.00,59.00,56.00,-1.00
2016835199.00,353.00,20101123.00,1011231698.00,9.00,1.00,1.00,1.00,1.00,97.00,33.00,32.00,-13.00,64.00,30.00,556.00
2016838377.00,353.00,20101123.00,1011231699.00,0.00,1.00,1.00,1.00,0.00,64.00,35.00,42.00,-9.00,53.00,41.00,242.00
2016838377.00,353.00,20101123.00,1011231699.00,0.00,1.00,1.00,1.00,0.00,64.00,35.00,42.00,-9.00,53.00,41.00,242.00
2016837859.00,353.00,20101123.00,1011231700.00,0.00,1.00,1.00,0.00,0.00,115.00,92.00,49.00,-6.00,48.00,31.00,-1.00
2016837854.00,353.00,20101123.00,1011231701.00,0.00,1.00,1.00,1.00,0.00,111.00,63.00,52.00,-7.00,55.00,51.00,714.00
2016837849.00,353.00,20101123.00,1011231702.00,0.00,1.00,1.00,0.00,0.00,198.00,107.00,61.00,-7.00,74.00,85.00,-1.00
2016835212.00,353.00,20101123.00,1011231703.00,0.00,1.00,1.00,0.00,0.00,149.00,76.00,51.00,-6.00,66.00,61.00,-1.00
2016835215.00,353.00,20101123.00,1011231705.00,0.00,1.00,1.00,1.00,0.00,107.00,54.00,30.00,-8.00,49.00,51.00,734.00
2017177142.00,353.00,20101123.00,1011231707.00,0.00,1.00,1.00,0.00,0.00,137.00,106.00,52.00,-15.00,54.00,61.00,-1.00
2016837037.00,353.00,20101123.00,1011231709.00,9.00,1.00,1.00,1.00,1.00,89.00,55.00,54.00,-6.00,81.00,38.00,357.00
2017177127.00,353.00,20101123.00,1011231710.00,9.00,1.00,1.00,1.00,1.00,98.00,61.00,26.00,-8.00,29.00,64.00,329.00
2016837850.00,353.00,20101123.00,1011231711.00,9.00,1.00,1.00,1.00,1.00,73.00,59.00,55.00,2.00,64.00,34.00,389.00
2016835206.00,353.00,20101123.00,1011231712.00,9.00,1.00,1.00,1.00,1.00,81.00,39.00,71.00,12.00,28.00,23.00,468.00
2016837862.00,353.00,20101123.00,1011231713.00,9.00,1.00,1.00,1.00,1.00,78.00,35.00,34.00,-12.00,74.00,42.00,175.00
2016835200.00,353.00,20101123.00,1011231714.00,0.00,1.00,1.00,0.00,0.00,120.00,102.00,40.00,-16.00,47.00,80.00,-1.00
2016835200.00,353.00,20101124.00,1011231714.00,9.00,1.00,1.00,1.00,1.00,67.00,25.00,35.00,-70.00,45.00,43.00,594.00
2017177142.00,353.00,20101124.00,1011231707.00,9.00,1.00,1.00,1.00,1.00,99.00,64.00,51.00,-67.00,38.00,65.00,366.00
2016835215.00,353.00,20101124.00,1011231705.00,0.00,1.00,1.00,0.00,0.00,99.00,83.00,36.00,-113.00,34.00,30.00,-1.00
2016835212.00,353.00,20101124.00,1011231703.00,9.00,1.00,1.00,1.00,1.00,89.00,33.00,50.00,-56.00,37.00,57.00,324.00
2016835216.00,353.00,20101124.00,1011231696.00,9.00,1.00,1.00,1.00,1.00,96.00,58.00,34.00,-72.00,51.00,61.00,364.00
2016835215.00,353.00,20101124.00,1011240134.00,9.00,1.00,1.00,1.00,1.00,122.00,74.00,26.00,-30.00,21.00,35.00,494.00
2016835215.00,353.00,20101124.00,1011231705.00,0.00,1.00,1.00,0.00,0.00,101.00,70.00,38.00,-164.00,31.00,86.00,-1.00
2016740033.00,341.00,20101202.00,1012021532.00,9.00,1.00,1.00,1.00,1.00,101.00,69.00,33.00,-14.00,31.00,57.00,111.00
2016740040.00,341.00,20101202.00,1012021446.00,9.00,1.00,1.00,1.00,1.00,82.00,48.00,23.00,-6.00,62.00,19.00,211.00
2016785349.00,341.00,20101202.00,1012021466.00,9.00,1.00,1.00,1.00,1.00,91.00,51.00,60.00,-6.00,74.00,49.00,509.00
2016796235.00,341.00,20101202.00,1012021467.00,0.00,1.00,1.00,1.00,0.00,106.00,44.00,30.00,-8.00,42.00,44.00,180.00
2016796235.00,341.00,20101203.00,1012021467.00,9.00,1.00,1.00,1.00,1.00,92.00,63.00,56.00,-35.00,42.00,49.00,269.00
2016796235.00,341.00,20101202.00,1012021467.00,0.00,1.00,1.00,0.00,0.00,98.00,35.00,51.00,-138.00,47.00,72.00,-1.00
2016796260.00,341.00,20101202.00,1012021468.00,0.00,1.00,1.00,0.00,0.00,166.00,154.00,26.00,-6.00,48.00,58.00,-1.00
2016796260.00,341.00,20101202.00,1012021468.00,9.00,1.00,1.00,1.00,1.00,60.00,39.00,34.00,-60.00,42.00,62.00,163.00
2016796267.00,341.00,20101202.00,1012021531.00,9.00,1.00,1.00,1.00,1.00,77.00,34.00,26.00,-4.00,37.00,50.00,564.00
2016796276.00,341.00,20101202.00,1012021460.00,9.00,1.00,1.00,1.00,1.00,103.00,36.00,56.00,-12.00,39.00,37.00,278.00
2016796542.00,341.00,20101202.00,1012021471.00,0.00,1.00,1.00,0.00,0.00,238.00,135.00,45.00,-1.00,47.00,50.00,-1.00
2016796542.00,341.00,20101203.00,1012021471.00,9.00,1.00,1.00,1.00,1.00,133.00,79.00,59.00,-47.00,34.00,52.00,144.00
2016796542.00,341.00,20101202.00,1012021471.00,0.00,1.00,1.00,0.00,0.00,151.00,84.00,53.00,-42.00,41.00,55.00,-1.00
2016796559.00,341.00,20101202.00,1012021529.00,9.00,1.00,1.00,1.00,1.00,55.00,30.00,21.00,-4.00,37.00,48.00,198.00
2016796560.00,341.00,20101202.00,1012021444.00,9.00,1.00,1.00,1.00,1.00,66.00,19.00,55.00,-4.00,25.00,51.00,340.00
2016796568.00,341.00,20101202.00,1012021465.00,0.00,1.00,1.00,1.00,0.00,83.00,53.00,56.00,3.00,80.00,27.00,720.00
2016796568.00,341.00,20101202.00,1012021465.00,9.00,1.00,1.00,1.00,1.00,86.00,37.00,63.00,-35.00,70.00,49.00,699.00
2016809673.00,341.00,20101202.00,1012021435.00,9.00,1.00,1.00,1.00,1.00,99.00,49.00,53.00,-2.00,32.00,31.00,276.00
2016809678.00,341.00,20101202.00,1012021450.00,9.00,1.00,1.00,1.00,1.00,102.00,58.00,45.00,-64.00,57.00,39.00,121.00
2016809678.00,341.00,20101202.00,1012021450.00,0.00,1.00,1.00,1.00,0.00,114.00,58.00,47.00,-12.00,61.00,27.00,237.00
2016809737.00,341.00,20101202.00,1012021462.00,0.00,1.00,1.00,0.00,0.00,119.00,88.00,40.00,-10.00,40.00,49.00,-1.00
2016809737.00,341.00,20101202.00,1012021462.00,9.00,1.00,1.00,1.00,1.00,99.00,60.00,39.00,-68.00,33.00,41.00,402.00
2016809745.00,341.00,20101202.00,1012021439.00,9.00,1.00,1.00,1.00,1.00,90.00,77.00,28.00,-12.00,86.00,38.00,334.00
2016810019.00,341.00,20101202.00,1012021524.00,9.00,1.00,1.00,1.00,1.00,72.00,33.00,33.00,-2.00,32.00,60.00,425.00
2016810023.00,341.00,20101202.00,1012021436.00,9.00,1.00,1.00,1.00,1.00,107.00,36.00,41.00,-6.00,46.00,48.00,436.00
2016810028.00,341.00,20101202.00,1012021440.00,9.00,1.00,1.00,1.00,1.00,105.00,73.00,40.00,-6.00,38.00,32.00,427.00
2016810031.00,341.00,20101202.00,1012021452.00,9.00,1.00,1.00,1.00,1.00,126.00,82.00,51.00,-9.00,66.00,48.00,437.00
2016810035.00,341.00,20101202.00,1012021451.00,9.00,1.00,1.00,1.00,1.00,77.00,38.00,30.00,-79.00,36.00,45.00,525.00
2016810035.00,341.00,20101202.00,1012021451.00,0.00,1.00,1.00,0.00,0.00,136.00,110.00,42.00,-9.00,50.00,44.00,-1.00
2016810049.00,341.00,20101202.00,1012021469.00,9.00,1.00,1.00,1.00,1.00,112.00,47.00,23.00,-1.00,52.00,34.00,419.00
2016810057.00,341.00,20101202.00,1012021473.00,9.00,1.00,1.00,1.00,1.00,137.00,59.00,46.00,-24.00,69.00,43.00,180.00
2016810061.00,341.00,20101202.00,1012021527.00,9.00,1.00,1.00,1.00,1.00,73.00,42.00,41.00,-6.00,49.00,31.00,84.00
2016810103.00,341.00,20101202.00,1012021457.00,9.00,1.00,1.00,1.00,1.00,71.00,22.00,61.00,5.00,66.00,44.00,556.00
2016810107.00,341.00,20101202.00,1012021721.00,9.00,1.00,1.00,1.00,1.00,106.00,75.00,44.00,-14.00,53.00,65.00,92.00
2016810111.00,341.00,20101202.00,1012021456.00,9.00,1.00,1.00,1.00,1.00,77.00,31.00,36.00,-3.00,50.00,62.00,505.00
2016810124.00,341.00,20101202.00,1012021459.00,9.00,1.00,1.00,1.00,1.00,70.00,31.00,28.00,4.00,25.00,51.00,233.00
2016810216.00,341.00,20101202.00,1012021534.00,9.00,1.00,1.00,1.00,1.00,71.00,30.00,48.00,-7.00,31.00,34.00,63.00
2016810257.00,341.00,20101202.00,1012021449.00,9.00,1.00,1.00,1.00,1.00,62.00,22.00,35.00,1.00,66.00,33.00,301.00
2016821434.00,341.00,20101202.00,1012021474.00,0.00,1.00,1.00,0.00,0.00,165.00,41.00,40.00,-9.00,79.00,34.00,-1.00
2016821434.00,341.00,20101203.00,1012021474.00,0.00,1.00,1.00,0.00,0.00,159.00,65.00,43.00,-58.00,62.00,67.00,-1.00
2016821434.00,341.00,20101202.00,1012021474.00,0.00,1.00,1.00,0.00,0.00,173.00,73.00,45.00,-63.00,70.00,80.00,-1.00
2016821446.00,341.00,20101202.00,1012021443.00,0.00,1.00,1.00,0.00,0.00,147.00,42.00,46.00,-1.00,66.00,41.00,-1.00
2016821446.00,341.00,20101202.00,1012021443.00,9.00,1.00,1.00,1.00,1.00,97.00,14.00,54.00,-45.00,58.00,39.00,424.00
2016821452.00,341.00,20101202.00,1012021722.00,9.00,1.00,1.00,1.00,1.00,87.00,48.00,46.00,-42.00,50.00,69.00,29.00
2016859156.00,341.00,20101202.00,1012021447.00,9.00,1.00,1.00,1.00,1.00,137.00,58.00,48.00,13.00,46.00,35.00,620.00
2016859261.00,341.00,20101202.00,1012021720.00,9.00,1.00,1.00,1.00,1.00,83.00,34.00,44.00,-27.00,51.00,89.00,205.00
2016859580.00,341.00,20101202.00,1012021438.00,0.00,1.00,0.00,0.00,0.00,121.00,101.00,53.00,-3.00,41.00,39.00,-1.00
2016859580.00,341.00,20101202.00,1012021438.00,9.00,1.00,1.00,1.00,1.00,76.00,35.00,49.00,-52.00,39.00,85.00,266.00
2016859612.00,341.00,20101202.00,1012021437.00,9.00,1.00,1.00,1.00,1.00,117.00,47.00,49.00,8.00,62.00,30.00,658.00
2016859613.00,341.00,20101202.00,1012021537.00,9.00,1.00,1.00,1.00,1.00,59.00,28.00,37.00,-11.00,37.00,44.00,176.00
2016859616.00,341.00,20101202.00,1012021454.00,9.00,1.00,1.00,1.00,1.00,100.00,64.00,48.00,-52.00,70.00,38.00,347.00
2016859616.00,341.00,20101202.00,1012021454.00,0.00,1.00,1.00,0.00,0.00,115.00,88.00,48.00,-7.00,65.00,38.00,-1.00
2016859617.00,341.00,20101202.00,1012021453.00,9.00,1.00,1.00,1.00,1.00,97.00,61.00,42.00,-14.00,80.00,49.00,329.00
2016862124.00,341.00,20101202.00,1012021723.00,9.00,1.00,1.00,1.00,1.00,79.00,61.00,45.00,-49.00,42.00,85.00,240.00
2016862128.00,341.00,20101202.00,1012021525.00,9.00,1.00,1.00,1.00,1.00,117.00,67.00,51.00,-10.00,26.00,44.00,135.00
2016862166.00,341.00,20101202.00,1012021464.00,9.00,1.00,1.00,1.00,1.00,98.00,72.00,26.00,-12.00,57.00,33.00,288.00
2016862173.00,341.00,20101202.00,1012021458.00,9.00,1.00,1.00,1.00,1.00,102.00,46.00,44.00,-5.00,70.00,25.00,76.00
2017174713.00,341.00,20101202.00,1012021442.00,9.00,1.00,1.00,1.00,1.00,102.00,49.00,52.00,-2.00,25.00,48.00,364.00
2017274239.00,341.00,20101202.00,1012021463.00,9.00,1.00,1.00,1.00,1.00,127.00,82.00,70.00,-2.00,37.00,37.00,120.00
2017274705.00,341.00,20101202.00,1012021445.00,9.00,1.00,1.00,1.00,1.00,105.00,64.00,30.00,-6.00,65.00,34.00,252.00
2017274738.00,341.00,20101202.00,1012021719.00,9.00,1.00,1.00,1.00,1.00,48.00,24.00,47.00,-32.00,36.00,79.00,448.00
2017274803.00,341.00,20101202.00,1012021536.00,9.00,1.00,1.00,1.00,1.00,64.00,33.00,44.00,-6.00,36.00,30.00,248.00
2017275752.00,341.00,20101202.00,1012021448.00,9.00,1.00,1.00,1.00,1.00,135.00,82.00,54.00,-42.00,41.00,51.00,474.00
2017275752.00,341.00,20101202.00,1012021448.00,0.00,1.00,1.00,0.00,0.00,142.00,66.00,39.00,1.00,46.00,36.00,-1.00
2017275753.00,341.00,20101202.00,1012021455.00,9.00,1.00,1.00,1.00,1.00,117.00,72.00,30.00,-74.00,41.00,64.00,256.00
2017275753.00,341.00,20101202.00,1012021455.00,0.00,1.00,1.00,0.00,0.00,123.00,89.00,26.00,-16.00,41.00,39.00,-1.00
2017275762.00,341.00,20101202.00,1012021472.00,9.00,1.00,1.00,1.00,1.00,95.00,31.00,32.00,-13.00,37.00,32.00,159.00
2017275763.00,341.00,20101202.00,1012021530.00,9.00,1.00,1.00,1.00,1.00,97.00,52.00,43.00,-4.00,62.00,50.00,412.00
2017275771.00,341.00,20101202.00,1012021475.00,9.00,1.00,1.00,1.00,1.00,97.00,70.00,68.00,-18.00,53.00,48.00,335.00
2017275787.00,341.00,20101202.00,1012021535.00,9.00,1.00,1.00,1.00,1.00,78.00,65.00,31.00,-2.00,33.00,45.00,111.00
2017275837.00,341.00,20101202.00,1012021470.00,0.00,1.00,1.00,0.00,0.00,149.00,103.00,33.00,-10.00,29.00,48.00,-1.00
2017275837.00,341.00,20101202.00,1012021470.00,9.00,1.00,1.00,1.00,1.00,83.00,37.00,38.00,-66.00,38.00,65.00,396.00
2017275865.00,341.00,20101202.00,1012021461.00,9.00,1.00,1.00,1.00,1.00,86.00,37.00,51.00,-12.00,77.00,24.00,373.00
2016859170.00,353.00,20101202.00,1012021551.00,9.00,1.00,1.00,1.00,1.00,104.00,64.00,53.00,-7.00,44.00,65.00,526.00
2016859243.00,353.00,20101202.00,1012021547.00,9.00,1.00,1.00,1.00,1.00,77.00,20.00,48.00,-3.00,26.00,53.00,205.00
