Video_Name,y_test,y_pred
2015_07_22-16_33_11__16_33_13_V1437575590_996.mp4,24.666539330855453,24.908369853341743
2015_08_20-17_15_01__17_15_03_V1440083700_995.mp4,28.802482893824983,23.496024480198074
2015_08_06-10_01_32__10_01_34_V1438848092_022.mp4,30.224182871927265,26.598224024434643
2015_08_20-18_50_01__18_50_03_V1440089401_019.mp4,19.696286346799923,18.832151204464996
2015_08_20-18_56_14__18_56_16_V1440089774_005.mp4,32.538793370047124,25.919032480940174
2015_07_23-13_42_06__13_42_08_V1437651725_996.mp4,30.659152900220363,26.46767135632011
2015_08_13-08_56_25__08_56_27_V1439448984_996.mp4,20.004743862566606,20.585321589314102
2015_07_22-16_28_45__16_28_47_V1437575325_026.mp4,21.559872378348626,18.778936094578594
2015_07_22-16_23_29__16_23_31_V1437575009_023.mp4,20.447682339349676,21.336729934833013
2015_08_13-09_20_41__09_20_43_V1439450441_024.mp4,32.601871637428594,26.330814489447526
2015_08_06-10_08_15__10_08_17_V1438848495_006.mp4,23.946537648167247,23.556855888641095
2015_08_20-17_44_21__17_44_23_V1440085461_020.mp4,25.513169155926658,25.892806347485973
2015_07_22-16_36_58__16_37_00_V1437575818_015.mp4,22.702223380214051,23.192560486993461
2015_08_06-10_24_43__10_24_45_V1438849482_999.mp4,28.285715937171577,28.024201061122177
2015_08_13-09_06_42__09_06_44_V1439449601_999.mp4,27.819125980245918,27.00753848362422
2015_08_13-09_14_49__09_14_51_V1439450088_998.mp4,21.228020549693493,24.644660888164896
2015_08_20-18_04_18__18_04_20_V1440086657_999.mp4,34.797687149327629,32.267468216577711
2015_08_20-18_06_18__18_06_20_V1440086778_008.mp4,28.642137848713503,24.675015274128551
2015_08_20-18_56_59__18_57_01_V1440089818_996.mp4,21.351607681166179,17.517839818601484
2015_07_22-16_34_25__16_34_27_V1437575665_014.mp4,24.014044143791388,20.777035842116124
2015_08_06-09_51_28__09_51_30_V1438847488_015.mp4,24.583432575734822,25.78281933764222
2015_08_06-10_08_27__10_08_29_V1438848507_002.mp4,29.930898275675656,26.733292515522127
2015_08_06-09_36_15__09_36_17_V1438846575_006.mp4,18.981318312903863,22.924590086671127
2015_07_22-16_33_15__16_33_17_V1437575594_996.mp4,19.894776009497608,21.101743312463832
