Video_Name,y_test,y_pred
2015_07_22-16_33_11__16_33_13_V1437575590_996.mp4,24.666539330855453,25.345037086650656
2015_08_20-17_15_01__17_15_03_V1440083700_995.mp4,28.802482893824983,23.515492406656989
2015_08_06-10_01_32__10_01_34_V1438848092_022.mp4,30.224182871927265,27.537351835895016
2015_08_20-18_50_01__18_50_03_V1440089401_019.mp4,19.696286346799923,19.723781445515606
2015_08_20-18_56_14__18_56_16_V1440089774_005.mp4,32.538793370047124,26.6993873974391
2015_07_23-13_42_06__13_42_08_V1437651725_996.mp4,30.659152900220363,25.757664025706593
2015_08_13-08_56_25__08_56_27_V1439448984_996.mp4,20.004743862566606,21.258765553036682
2015_07_22-16_28_45__16_28_47_V1437575325_026.mp4,21.559872378348626,19.444417140950925
2015_07_22-16_23_29__16_23_31_V1437575009_023.mp4,20.447682339349676,21.963295408698176
2015_08_13-09_20_41__09_20_43_V1439450441_024.mp4,32.601871637428594,27.429946637742031
2015_08_06-10_08_15__10_08_17_V1438848495_006.mp4,23.946537648167247,22.745598890318938
2015_08_20-17_44_21__17_44_23_V1440085461_020.mp4,25.513169155926658,25.117338997523184
2015_07_22-16_36_58__16_37_00_V1437575818_015.mp4,22.702223380214051,22.618989621675112
2015_08_06-10_24_43__10_24_45_V1438849482_999.mp4,28.285715937171577,27.675862373946739
2015_08_13-09_06_42__09_06_44_V1439449601_999.mp4,27.819125980245918,26.922047550005395
2015_08_13-09_14_49__09_14_51_V1439450088_998.mp4,21.228020549693493,25.862868024622379
2015_08_20-18_04_18__18_04_20_V1440086657_999.mp4,34.797687149327629,32.964215167988286
2015_08_20-18_06_18__18_06_20_V1440086778_008.mp4,28.642137848713503,25.72414367149635
2015_08_20-18_56_59__18_57_01_V1440089818_996.mp4,21.351607681166179,17.091793722996698
2015_07_22-16_34_25__16_34_27_V1437575665_014.mp4,24.014044143791388,20.404260684510653
2015_08_06-09_51_28__09_51_30_V1438847488_015.mp4,24.583432575734822,24.889931994433329
2015_08_06-10_08_27__10_08_29_V1438848507_002.mp4,29.930898275675656,25.928500937498491
2015_08_06-09_36_15__09_36_17_V1438846575_006.mp4,18.981318312903863,23.649024868164013
2015_07_22-16_33_15__16_33_17_V1437575594_996.mp4,19.894776009497608,21.16161838019104
2015_07_23-13_59_06__13_59_08_V1437652746_009.mp4,26.69765307436581,25.648461378912156
2015_08_20-18_08_30__18_08_32_V1440086910_012.mp4,30.578680149443503,26.682595927250318
2015_08_13-09_33_36__09_33_38_V1439451215_995.mp4,17.646283533710662,21.897866338755588
2015_08_20-18_57_08__18_57_10_V1440089827_994.mp4,14.828078913762669,19.198445549402418
2015_08_06-10_09_58__10_10_00_V1438848598_017.mp4,23.202877530611648,25.563841166430517
2015_08_13-09_33_39__09_33_41_V1439451218_994.mp4,16.289316555800465,21.960750342280438
2015_08_06-09_48_28__09_48_30_V1438847308_020.mp4,23.868954738574011,20.390899225461268
2015_07_23-13_34_36__13_34_38_V1437651276_026.mp4,21.255927461517519,25.234248290181348
2015_08_20-16_54_02__16_54_04_V1440082441_995.mp4,25.392532706601834,24.633139682849212
2015_08_06-09_39_41__09_39_43_V1438846780_997.mp4,19.750735478873406,22.34885105307287
2015_07_23-14_13_01__14_13_03_V1437653581_030.mp4,24.807596757132956,23.604061137165022
2015_08_06-09_43_14__09_43_16_V1438846994_019.mp4,23.760632567686855,22.325212507663931
2015_08_06-10_03_57__10_03_59_V1438848237_026.mp4,18.586607733530453,20.737607371226666
2015_08_20-16_44_33__16_44_35_V1440081873_020.mp4,25.385771284324019,23.504544534996192
2015_08_06-10_28_22__10_28_24_V1438849702_019.mp4,33.545451011159898,28.785977630107222
2015_08_20-18_27_48__18_27_50_V1440088068_003.mp4,20.775605680282993,24.450418915669676
2015_07_22-16_47_30__16_47_32_V1437576450_013.mp4,33.078911619491379,30.229370684396159
2015_08_06-10_18_29__10_18_31_V1438849109_011.mp4,35.01055986161812,26.816906651862887
